Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,30,26,2330,25.9,0.04,0.08,0.12,0.04,0.12,0.04,0.11,0.15,0.04,0.15
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,3,0,36,0.4,0,0,0,0,0,0.43,0,0.43,0.43,0.43
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,26,16,1558,17.3,0,0.06,0.06,0,0.06,0.01,0.05,0.06,0.01,0.06
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,25,14,1289,14.3,0,0,0,0,0,0.06,0.04,0.1,0.06,0.1
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,13,10,865,9.6,0.1,0,0.1,0.1,0.1,0.04,0.03,0.07,0.04,0.07
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,10,4,378,4.2,0,0,0,0,0,0,0.08,0.08,0,0.08
8,Jony Álamo,es ESP,MF,Elche,18,2001,1,1,73,0.8,0,0,0,0,0,0.02,0,0.02,0.02,0.02
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,35,34,3025,33.6,0.09,0.15,0.24,0.09,0.24,0.07,0.22,0.29,0.07,0.29
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,35,35,3115,34.6,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,27,19,1544,17.2,0.35,0.23,0.58,0.29,0.52,0.48,0.19,0.67,0.39,0.58
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,13,8,909,10.1,0,0,0,0,0,0.01,0,0.01,0.01,0.01
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,30,25,2165,24.1,0.04,0,0.04,0.04,0.04,0.07,0.03,0.09,0.07,0.09
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,22,6,827,9.2,0.11,0.11,0.22,0.11,0.22,0.11,0.08,0.19,0.11,0.19
15,Carles Aleñá,es ESP,MF,Barcelona,22,1998,2,0,48,0.5,0,0,0,0,0,0.04,0,0.04,0.04,0.04
16,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,22,15,1366,15.2,0.13,0.13,0.26,0.13,0.26,0.12,0.13,0.26,0.12,0.26
17,Alfon,es ESP,MF,Celta Vigo,21,1999,2,0,34,0.4,0,0,0,0,0,0.13,0.22,0.35,0.13,0.35
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,27,17,1568,17.4,0,0,0,0,0,0.02,0.05,0.07,0.02,0.07
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,23,22,1948,21.6,0.05,0,0.05,0.05,0.05,0.02,0.02,0.04,0.02,0.04
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,23,7,800,8.9,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
22,Ángel,es ESP,GK,Granada,18,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0
23,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,2,1,135,1.5,0,0,0,0,0,0.02,0,0.02,0.02,0.02
24,José Ángel,es ESP,DF,Eibar,30,1989,14,11,901,10,0,0,0,0,0,0,0.09,0.1,0,0.1
25,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,4,0,26,0.3,0,0,0,0,0,0.69,0,0.69,0.69,0.69
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,1,0,26,0.3,0,0,0,0,0,0.5,0,0.5,0.5,0.5
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,34,33,2983,33.1,0.09,0,0.09,0.09,0.09,0.07,0.06,0.13,0.07,0.13
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,33,26,2426,27,0,0,0,0,0,0.01,0.02,0.04,0.01,0.04
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,24,16,1510,16.8,0.12,0.06,0.18,0.12,0.18,0.09,0.01,0.1,0.09,0.1
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,34,30,2807,31.2,0,0.03,0.03,0,0.03,0.04,0.03,0.07,0.04,0.07
31,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,4,0,47,0.5,0,0,0,0,0,0.04,0,0.04,0.04,0.04
32,Sergio Arribas,es ESP,"FW,DF",Real Madrid,18,2001,8,0,135,1.5,0,0,0,0,0,0.02,0.03,0.05,0.02,0.05
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36,36,3240,36,0,0,0,0,0,0,0,0,0,0
34,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,35,21,1869,20.8,0.24,0.1,0.34,0.24,0.34,0.23,0.15,0.38,0.23,0.38
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,33,33,2864,31.8,0.44,0.41,0.85,0.28,0.69,0.39,0.26,0.65,0.27,0.54
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,12,9,838,9.3,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
37,Ezequiel Ávila,ar ARG,"MF,FW",Osasuna,26,1994,8,2,202,2.2,0,0,0,0,0,0.31,0,0.31,0.31,0.31
38,Ramon Azeez,ng NGA,"MF,DF",Granada,27,1992,2,1,101,1.1,0,0,0,0,0,0.15,0,0.15,0.15,0.15
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,23,9,786,8.7,0.57,0,0.57,0.57,0.57,0.4,0.11,0.5,0.4,0.5
40,Édgar Badía,es ESP,GK,Elche,28,1992,30,30,2700,30,0,0,0,0,0,0,0,0,0,0
41,Alex Baena,es ESP,MF,Villarreal,19,2001,6,2,137,1.5,0,0,0,0,0,0.05,0.05,0.09,0.05,0.09
42,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20,2000,22,4,543,6,0.17,0,0.17,0.17,0.17,0.26,0.1,0.36,0.26,0.36
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,23,17,1689,18.8,0,0.05,0.05,0,0.05,0,0.03,0.04,0,0.04
44,Barcia,es ESP,DF,Granada,19,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0
45,Enis Bardhi,mk MKD,MF,Levante,25,1995,26,19,1682,18.7,0.05,0.11,0.16,0.05,0.16,0.15,0.06,0.21,0.15,0.21
46,Kike Barja,es ESP,"MF,FW",Osasuna,23,1997,33,17,1433,15.9,0.13,0.19,0.31,0.13,0.31,0.12,0.12,0.23,0.12,0.23
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1,1,90,1,0,0,0,0,0,0.02,0.33,0.35,0.02,0.35
48,Antonio Barragán,es ESP,DF,Elche,33,1987,27,26,2235,24.8,0,0.12,0.12,0,0.12,0.02,0.04,0.06,0.02,0.06
49,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,18,2001,31,13,1307,14.5,0.21,0,0.21,0.21,0.21,0.12,0.14,0.26,0.12,0.26
50,Marc Bartra,es ESP,DF,Betis,29,1991,19,19,1694,18.8,0,0.05,0.05,0,0.05,0.02,0.04,0.07,0.02,0.07
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,32,29,2492,27.7,0.04,0,0.04,0.04,0.04,0.04,0.01,0.05,0.04,0.05
53,Jon Bautista,es ESP,"FW,MF",Real Sociedad,25,1995,21,0,370,4.1,0,0.24,0.24,0,0.24,0.23,0.06,0.29,0.23,0.29
54,Fran Beltrán,es ESP,MF,Celta Vigo,21,1999,32,13,1399,15.5,0.19,0,0.19,0.19,0.19,0.09,0.02,0.11,0.09,0.11
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,34,33,2894,32.2,0.72,0.28,1,0.68,0.96,0.55,0.19,0.75,0.53,0.72
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,23,21,1682,18.7,0.05,0.16,0.21,0.05,0.21,0.04,0.1,0.14,0.04,0.14
58,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25,1995,35,27,2278,25.3,0.32,0.16,0.47,0.32,0.47,0.24,0.15,0.39,0.24,0.39
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,21,19,1529,17,0,0,0,0,0,0.05,0,0.05,0.05,0.05
60,Blanco,es ESP,"MF,DF",Real Madrid,20,2000,4,2,220,2.4,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,13,6,580,6.4,0.16,0,0.16,0.16,0.16,0.12,0.08,0.2,0.12,0.2
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,19,19,1637,18.2,0,0,0,0,0,0,0,0,0,0
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,9,2,251,2.8,0,0,0,0,0,0,0.05,0.05,0,0.05
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33,33,2970,33,0.03,0,0.03,0.03,0.03,0.01,0,0.01,0.01,0.01
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,34,32,2694,29.9,0.23,0.07,0.3,0.23,0.3,0.2,0.03,0.23,0.2,0.23
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,29,11,1175,13.1,0.15,0.15,0.31,0.15,0.31,0.38,0.16,0.54,0.33,0.48
68,Darko Brašanac,rs SRB,MF,Osasuna,28,1992,16,9,909,10.1,0.2,0,0.2,0.2,0.2,0.12,0.02,0.14,0.12,0.14
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20,20,1800,20,0,0,0,0,0,0,0.01,0.01,0,0.01
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,25,16,1321,14.7,0,0,0,0,0,0.02,0,0.02,0.02,0.02
72,Juan Brunet,ar ARG,MF,Granada,22,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0
73,Bryan,es ESP,FW,Sevilla,19,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0
74,Bryan,es ESP,"MF,FW",Eibar,19,2001,28,26,2265,25.2,0.16,0.12,0.28,0.16,0.28,0.16,0.21,0.36,0.14,0.35
75,Ante Budimir,hr CRO,FW,Osasuna,29,1991,30,18,1625,18.1,0.61,0,0.61,0.61,0.61,0.39,0.03,0.43,0.39,0.43
76,Esteban Burgos,ar ARG,DF,Eibar,28,1992,14,12,1111,12.3,0.24,0.08,0.32,0.08,0.16,0.27,0.01,0.28,0.09,0.1
77,Burgui,es ESP,MF,Alavés,26,1993,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0
78,Sergio Busquets,es ESP,MF,Barcelona,32,1988,36,32,2544,28.3,0,0.18,0.18,0,0.18,0.01,0.13,0.13,0.01,0.13
79,Erick Cabaco,uy URU,DF,Getafe,25,1995,20,15,1326,14.7,0,0,0,0,0,0.02,0,0.02,0.02,0.02
80,Cala,es ESP,DF,Cádiz,30,1989,28,26,2272,25.2,0.12,0,0.12,0.12,0.12,0.06,0.01,0.07,0.06,0.07
81,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,25,20,1544,17.2,0.29,0.12,0.41,0.29,0.41,0.34,0.08,0.42,0.34,0.42
82,Dani Calvo,es ESP,DF,Elche,26,1994,23,19,1779,19.8,0.1,0,0.1,0.1,0.1,0.05,0,0.05,0.05,0.05
83,José Campaña,es ESP,MF,Levante,27,1993,9,8,748,8.3,0.12,0.24,0.36,0,0.24,0.17,0.16,0.34,0.08,0.25
84,Sergio Canales,es ESP,"MF,FW",Betis,29,1991,31,28,2498,27.8,0.29,0.22,0.5,0.22,0.43,0.19,0.18,0.38,0.11,0.29
85,Álex Cantero,es ESP,FW,Levante,20,2000,4,3,237,2.6,0,0,0,0,0,,,,,
86,Ander Capa,es ESP,DF,Athletic Club,28,1992,28,25,2131,23.7,0.08,0.04,0.13,0.08,0.13,0.05,0.07,0.11,0.05,0.11
87,Étienne Capoue,fr FRA,MF,Villarreal,32,1988,16,15,1185,13.2,0.08,0,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
88,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,32,31,2581,28.7,0,0.03,0.03,0,0.03,0.01,0.03,0.05,0.01,0.05
89,Cárdenas,es ESP,GK,Levante,23,1997,8,8,720,8,0,0,0,0,0,0,0,0,0,0
90,Marc Cardona,es ESP,"FW,MF",Osasuna,25,1995,3,0,53,0.6,0,0,0,0,0,0.3,0,0.3,0.3,0.3
91,Diego Carlos,br BRA,DF,Sevilla,27,1993,33,32,2788,31,0.03,0,0.03,0.03,0.03,0.03,0.02,0.05,0.03,0.05
92,Juan Carlos,es ESP,"MF,FW",Huesca,29,1991,15,3,291,3.2,0,0.31,0.31,0,0.31,0.14,0.1,0.24,0.14,0.24
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,26,1993,30,25,2179,24.2,0.25,0.41,0.66,0.25,0.66,0.25,0.23,0.48,0.25,0.48
94,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,3,3,259,2.9,0.35,0,0.35,0.35,0.35,0.13,0,0.13,0.13,0.13
95,Guido Carrillo,ar ARG,FW,Elche,29,1991,21,11,1002,11.1,0.27,0.18,0.45,0.27,0.45,0.24,0.11,0.36,0.24,0.36
96,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,13,11,950,10.6,0,0.19,0.19,0,0.19,0.05,0.08,0.13,0.05,0.13
97,William Carvalho,pt POR,MF,Betis,28,1992,27,12,1223,13.6,0.15,0,0.15,0.15,0.15,0.09,0.03,0.13,0.09,0.13
98,Casemiro,br BRA,MF,Real Madrid,28,1992,34,32,2901,32.2,0.19,0.12,0.31,0.19,0.31,0.15,0.11,0.26,0.15,0.26
99,Sofian Chakla,ma MAR,DF,Getafe,26,1993,11,9,897,10,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02
100,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,1,0,13,0.1,0,0,0,0,0,0.39,0,0.39,0.39,0.39
101,Chema,es ESP,"DF,MF",Getafe,28,1992,10,7,557,6.2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
102,Denis Cheryshev,ru RUS,MF,Valencia,29,1990,21,13,1101,12.2,0,0.25,0.25,0,0.25,0.12,0.2,0.32,0.12,0.32
103,Samuel Chukwueze,ng NGA,"MF,FW",Villarreal,21,1999,28,13,1365,15.2,0.26,0.13,0.4,0.26,0.4,0.23,0.17,0.41,0.23,0.41
104,Víctor Chust,es ESP,DF,Real Madrid,20,2000,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0
105,Cifu,es ESP,DF,Elche,29,1990,11,4,451,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02
106,Alberto Cifuentes,es ESP,GK,Cádiz,41,1979,2,2,180,2,0,0,0,0,0,0,0.02,0.02,0,0.02
107,Jasper Cillessen,nl NED,GK,Valencia,31,1989,10,10,900,10,0,0,0,0,0,0,0,0,0,0
108,Carlos Clerc,es ESP,DF,Levante,28,1992,35,30,2781,30.9,0,0.1,0.1,0,0.1,0.01,0.11,0.12,0.01,0.12
109,Coke,es ESP,DF,Levante,33,1987,17,11,835,9.3,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07
110,Francis Coquelin,fr FRA,MF,Villarreal,29,1991,22,7,736,8.2,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
111,Iñigo Córdoba,es ESP,"FW,MF",Athletic Club,23,1997,3,1,95,1.1,0,0,0,0,0,0.11,0,0.11,0.11,0.11
112,Iñigo Córdoba,es ESP,MF,Alavés,23,1997,7,3,216,2.4,0,0,0,0,0,0.01,0.11,0.12,0.01,0.12
113,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,25,1995,38,29,2393,26.6,0.34,0.3,0.64,0.34,0.64,0.29,0.21,0.5,0.28,0.49
114,Rober Correa,es ESP,DF,Eibar,27,1992,15,13,1136,12.6,0,0.16,0.16,0,0.16,0.02,0.08,0.09,0.02,0.09
115,Thierry Correia,pt POR,DF,Valencia,21,1999,29,25,2137,23.7,0.04,0.04,0.08,0.04,0.08,0.04,0.06,0.1,0.04,0.1
116,Diego Costa,es ESP,FW,Atlético Madrid,31,1988,7,2,208,2.3,0.87,0,0.87,0.43,0.43,0.6,0.14,0.74,0.27,0.41
117,Jaume Costa,es ESP,"DF,MF",Villarreal,32,1988,14,3,351,3.9,0,0.26,0.26,0,0.26,0.02,0.08,0.09,0.02,0.09
118,Thibaut Courtois,be BEL,GK,Real Madrid,28,1992,38,38,3420,38,0,0,0,0,0,0,0,0,0,0
119,Philippe Coutinho,br BRA,"MF,FW",Barcelona,28,1992,12,8,654,7.3,0.28,0.28,0.55,0.28,0.55,0.53,0.12,0.65,0.53,0.65
120,Juan Cruz Armada,es ESP,DF,Osasuna,28,1992,26,23,1962,21.8,0,0,0,0,0,0,0.02,0.02,0,0.02
121,Sergio Cubero Ezcurra,es ESP,MF,Eibar,20,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Cucho,co COL,"FW,MF",Getafe,21,1999,23,18,1466,16.3,0.12,0.18,0.31,0.12,0.31,0.16,0.07,0.23,0.16,0.23
123,Marc Cucurella,es ESP,MF,Getafe,22,1998,37,37,3244,36,0.08,0.06,0.14,0.08,0.14,0.05,0.08,0.13,0.05,0.13
124,Patrick Cutrone,it ITA,FW,Valencia,22,1998,7,0,108,1.2,0,0,0,0,0,0.46,0.14,0.6,0.46,0.6
125,Moussa Dembélé,fr FRA,"FW,MF",Atlético Madrid,24,1996,5,0,100,1.1,0,0,0,0,0,0.92,0.02,0.95,0.92,0.95
126,Ousmane Dembélé,fr FRA,"FW,DF",Barcelona,23,1997,30,19,1774,19.7,0.3,0.15,0.46,0.3,0.46,0.29,0.25,0.54,0.29,0.54
127,Sergiño Dest,us USA,DF,Barcelona,19,2000,30,23,1886,21,0.1,0.05,0.14,0.1,0.14,0.12,0.12,0.24,0.12,0.24
128,Deyverson,br BRA,FW,Alavés,29,1991,27,11,874,9.7,0.1,0.31,0.41,0.1,0.41,0.18,0.16,0.34,0.18,0.34
129,Abdoulay Diaby,ml MLI,MF,Getafe,29,1991,1,0,18,0.2,0,0,0,0,0,1.69,0.53,2.22,1.69,2.22
130,Mouctar Diakhaby,fr FRA,DF,Valencia,23,1996,26,24,2079,23.1,0.04,0,0.04,0.04,0.04,0.05,0,0.05,0.05,0.05
131,Víctor Díaz,es ESP,DF,Granada,32,1988,17,7,828,9.2,0,0.22,0.22,0,0.22,0.03,0.03,0.06,0.03,0.06
132,Papakouli Diop,sn SEN,MF,Eibar,34,1986,33,28,2324,25.8,0.04,0.04,0.08,0.04,0.08,0.07,0.04,0.12,0.07,0.12
133,Djené,tg TOG,DF,Getafe,28,1991,34,34,2941,32.7,0,0.03,0.03,0,0.03,0.01,0,0.01,0.01,0.01
134,Marko Dmitrović,rs SRB,GK,Eibar,28,1992,35,35,3120,34.7,0.03,0,0.03,0,0,0.05,0.01,0.06,0,0.02
135,Jaume Doménech,es ESP,GK,Valencia,29,1990,28,28,2520,28,0,0,0,0,0,0,0,0,0,0
136,Carlos Dominguez,es ESP,DF,Celta Vigo,19,2001,4,4,360,4,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
137,John Donald,es ESP,DF,Elche,19,2000,2,1,50,0.6,0,0,0,0,0,0,0,0,0,0
138,Cheick Doukouré,ci CIV,MF,Levante,27,1992,7,0,101,1.1,0,0,0,0,0,0,0.08,0.08,0,0.08
139,Idrissa Doumbia,ci CIV,MF,Huesca,22,1998,23,7,779,8.7,0,0,0,0,0,0.04,0,0.05,0.04,0.05
140,Domingos Duarte,pt POR,DF,Granada,25,1995,29,27,2363,26.3,0.04,0,0.04,0.04,0.04,0.05,0.04,0.09,0.05,0.09
141,Óscar Duarte,cr CRC,DF,Levante,31,1989,29,23,2060,22.9,0.04,0,0.04,0.04,0.04,0.05,0.01,0.06,0.05,0.06
142,Rubén Duarte,es ESP,DF,Alavés,24,1995,31,29,2545,28.3,0.04,0.04,0.07,0.04,0.07,0.05,0.08,0.13,0.05,0.13
143,Unai Dufur,es ESP,DF,Eibar,21,1999,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0
144,Hugo Duro,es ESP,FW,Real Madrid,20,1999,2,0,55,0.6,0,0,0,0,0,0.22,0.09,0.31,0.22,0.31
145,Aritz Elustondo,es ESP,DF,Real Sociedad,26,1994,23,22,1884,20.9,0.05,0,0.05,0.05,0.05,0.01,0.01,0.02,0.01,0.02
146,Rodrigo Ely,br BRA,DF,Alavés,26,1993,8,6,468,5.2,0.19,0,0.19,0.19,0.19,0.04,0.02,0.06,0.04,0.06
147,Emerson,br BRA,DF,Betis,21,1999,34,34,2991,33.2,0.03,0.12,0.15,0.03,0.15,0.04,0.07,0.1,0.04,0.1
148,Youssef En-Nesyri,ma MAR,FW,Sevilla,23,1997,38,23,2311,25.7,0.7,0,0.7,0.7,0.7,0.58,0.05,0.63,0.58,0.63
