Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
149,Sergi Enrich,es ESP,FW,Eibar,30,1990,27,13,1404,15.6,0.19,0,0.19,0.19,0.19,0.37,0.06,0.43,0.32,0.38
150,Aarón Escandell,es ESP,GK,Granada,24,1995,5,5,450,5,0,0,0,0,0,0,0,0,0,0
151,Dani Escriche,es ESP,"FW,MF",Huesca,22,1998,23,7,857,9.5,0.11,0.11,0.21,0.11,0.21,0.14,0.13,0.28,0.14,0.28
152,Sergio Escudero,es ESP,DF,Sevilla,30,1989,9,7,565,6.3,0.16,0,0.16,0.16,0.16,0.03,0.08,0.12,0.03,0.12
153,Alfonso Espino,uy URU,DF,Cádiz,28,1992,32,31,2601,28.9,0,0.1,0.1,0,0.1,0.01,0.04,0.05,0.01,0.05
154,Vicente Esquerdo,es ESP,MF,Valencia,21,1999,4,3,231,2.6,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
155,Pervis Estupiñán,ec ECU,DF,Villarreal,22,1998,25,12,1168,13,0,0,0,0,0,0.04,0.1,0.14,0.04,0.14
156,Xabier Etxeita,es ESP,DF,Getafe,32,1987,11,9,883,9.8,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
157,Edu Expósito,es ESP,MF,Eibar,23,1996,31,27,2455,27.3,0,0.11,0.11,0,0.11,0.12,0.1,0.22,0.07,0.17
158,Jokin Ezkieta,es ESP,GK,Athletic Club,23,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0
159,Fali,es ESP,"DF,MF",Cádiz,26,1993,34,29,2637,29.3,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05
160,Ansu Fati,es ESP,FW,Barcelona,17,2002,7,6,431,4.8,0.84,0,0.84,0.84,0.84,0.37,0.29,0.66,0.37,0.66
161,Nabil Fekir,fr FRA,"MF,FW",Betis,27,1993,33,33,2622,29.1,0.17,0.21,0.38,0.14,0.34,0.26,0.18,0.44,0.18,0.36
162,Felipe,br BRA,DF,Atlético Madrid,31,1989,31,23,2057,22.9,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
163,João Félix,pt POR,"FW,MF",Atlético Madrid,20,1999,31,14,1572,17.5,0.4,0.29,0.69,0.34,0.63,0.29,0.22,0.51,0.2,0.42
164,Aitor Fernández,es ESP,GK,Levante,29,1991,29,29,2610,29,0,0,0,0,0,0,0,0,0,0
165,Álex Fernández,es ESP,MF,Cádiz,27,1992,25,21,1946,21.6,0.18,0.05,0.23,0.09,0.14,0.15,0.08,0.23,0.08,0.16
166,Álvaro Fernández,es ESP,GK,Huesca,22,1998,22,22,1980,22,0,0,0,0,0,0,0,0,0,0
167,Andrés Fernández,es ESP,GK,Huesca,33,1986,16,16,1440,16,0,0,0,0,0,0,0,0,0,0
168,Augusto Fernández,ar ARG,MF,Cádiz,34,1986,12,4,369,4.1,0,0,0,0,0,0,0,0,0,0
169,Carlos Fernández,es ESP,FW,Sevilla,24,1996,5,2,143,1.6,0,0,0,0,0,0.09,0.06,0.14,0.09,0.14
170,Carlos Fernández,es ESP,"FW,MF",Real Sociedad,24,1996,11,4,390,4.3,0.23,0.46,0.69,0.23,0.69,0.26,0.15,0.41,0.26,0.41
171,Joaquín Fernández,es ESP,DF,Valladolid,24,1996,25,24,2073,23,0.04,0,0.04,0.04,0.04,0.05,0.01,0.07,0.05,0.07
172,Fernando,br BRA,MF,Sevilla,33,1987,31,28,2546,28.3,0.11,0.14,0.25,0.11,0.25,0.02,0.12,0.14,0.02,0.14
173,David Ferreiro,es ESP,"MF,FW",Huesca,32,1988,37,29,2527,28.1,0.07,0.14,0.21,0.07,0.21,0.07,0.19,0.26,0.07,0.26
174,Facundo Ferreyra,ar ARG,FW,Celta Vigo,29,1991,13,2,300,3.3,0.3,0,0.3,0.3,0.3,0.43,0,0.43,0.43,0.43
175,Fidel,es ESP,"MF,DF",Elche,30,1989,30,28,2396,26.6,0.23,0.11,0.34,0.15,0.26,0.16,0.19,0.35,0.07,0.26
176,Junior Firpo,es ESP,DF,Barcelona,23,1996,7,3,289,3.2,0.31,0.31,0.62,0.31,0.62,0.26,0.21,0.47,0.26,0.47
177,Kingsley Fobi,gh GHA,DF,Granada,21,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0
178,Ramón Folch,es ESP,MF,Elche,30,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0
179,José Fontán,es ESP,DF,Celta Vigo,20,2000,14,7,652,7.2,0,0,0,0,0,0.08,0,0.08,0.08,0.08
180,Dimitri Foulquier,fr FRA,DF,Granada,27,1993,32,32,2663,29.6,0,0.14,0.14,0,0.14,0.01,0.06,0.07,0.01,0.07
181,Juan Foyth,ar ARG,"DF,MF",Villarreal,22,1998,16,13,1168,13,0,0,0,0,0,0.01,0.02,0.02,0.01,0.02
182,Jorge de Frutos,es ESP,"MF,FW",Levante,23,1997,37,22,2186,24.3,0.16,0.37,0.54,0.16,0.54,0.13,0.22,0.35,0.13,0.35
183,Ramiro Funes Mori,ar ARG,DF,Villarreal,29,1991,10,8,727,8.1,0,0,0,0,0,0.15,0,0.15,0.15,0.15
184,Javi Galán,es ESP,DF,Huesca,25,1994,37,34,3065,34.1,0.03,0.06,0.09,0.03,0.09,0.01,0.09,0.1,0.01,0.1
185,Enric Gallego,es ESP,FW,Osasuna,33,1986,22,8,806,9,0,0.22,0.22,0,0.22,0.16,0.07,0.24,0.16,0.24
186,Kévin Gameiro,fr FRA,FW,Valencia,33,1987,27,10,1077,12,0.33,0.08,0.42,0.33,0.42,0.29,0.1,0.38,0.29,0.38
187,Aleix García,es ESP,MF,Eibar,23,1997,11,5,437,4.9,0,0.21,0.21,0,0.21,0.07,0.17,0.24,0.07,0.24
188,Borja García,es ESP,"MF,FW",Huesca,29,1990,21,13,1117,12.4,0.08,0,0.08,0.08,0.08,0.1,0.1,0.2,0.1,0.2
189,Dani García,es ESP,MF,Athletic Club,30,1990,27,21,1920,21.3,0,0.05,0.05,0,0.05,0.02,0.02,0.04,0.02,0.04
190,David García,es ESP,DF,Osasuna,26,1994,35,35,3150,35,0.03,0,0.03,0.03,0.03,0.04,0.01,0.05,0.04,0.05
191,Manu García,es ESP,MF,Alavés,34,1986,25,10,1124,12.5,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08
192,Raúl García,es ESP,"FW,MF",Athletic Club,34,1986,34,21,1743,19.4,0.26,0.05,0.31,0.15,0.21,0.33,0.07,0.4,0.21,0.28
193,Raúl García,es ESP,"DF,MF",Valladolid,31,1989,8,5,504,5.6,0.18,0,0.18,0.18,0.18,0.02,0.04,0.07,0.02,0.07
194,Rubén García,es ESP,"MF,FW",Osasuna,27,1993,37,33,2718,30.2,0.1,0.17,0.26,0.07,0.23,0.11,0.17,0.28,0.09,0.26
195,Sergi García,es ESP,MF,Alavés,21,1999,2,0,16,0.2,0,0,0,0,0,0,0,0,0,0
196,Unai García,es ESP,DF,Osasuna,28,1992,17,13,1242,13.8,0,0,0,0,0,0.04,0.02,0.05,0.04,0.05
197,Mario Gaspar,es ESP,DF,Villarreal,29,1990,24,21,1851,20.6,0,0.1,0.1,0,0.1,0.04,0.08,0.12,0.04,0.12
198,Paulo Gazzaniga,ar ARG,GK,Elche,28,1992,8,8,720,8,0,0,0,0,0,0,0.01,0.01,0,0.01
199,David Gil,es ESP,GK,Cádiz,26,1994,4,4,360,4,0,0,0,0,0,0,0,0,0,0
200,Álvaro Giménez,es ESP,"FW,MF",Cádiz,29,1991,11,3,407,4.5,0.44,0.22,0.66,0.44,0.66,0.31,0.01,0.32,0.31,0.32
201,Dani Gómez,es ESP,FW,Levante,22,1998,34,17,1666,18.5,0.11,0.11,0.22,0.11,0.22,0.17,0.06,0.23,0.17,0.23
202,Ibai Gómez,es ESP,MF,Athletic Club,30,1989,13,4,424,4.7,0,0.21,0.21,0,0.21,0.04,0.14,0.18,0.04,0.18
203,Maxi Gómez,uy URU,FW,Valencia,23,1996,31,31,2689,29.9,0.23,0.03,0.27,0.23,0.27,0.23,0.03,0.26,0.23,0.26
204,Moi Gómez,es ESP,"MF,FW",Villarreal,26,1994,35,29,2563,28.5,0.14,0,0.14,0.11,0.11,0.15,0.09,0.24,0.12,0.21
205,Papu Gómez,ar ARG,"MF,FW",Sevilla,32,1988,18,11,914,10.2,0.3,0.1,0.39,0.3,0.39,0.12,0.11,0.22,0.12,0.22
206,Sergi Gómez,es ESP,DF,Sevilla,28,1992,9,9,719,8,0,0,0,0,0,0,0,0,0,0
207,Sergio Gómez,es ESP,"MF,FW",Huesca,19,2000,29,4,792,8.8,0,0.11,0.11,0,0.11,0.07,0.14,0.21,0.07,0.21
208,Maxime Gonalons,fr FRA,MF,Granada,31,1989,25,18,1480,16.4,0,0.06,0.06,0,0.06,0.01,0.03,0.04,0.01,0.04
209,Bruno González,es ESP,DF,Valladolid,30,1990,27,25,2263,25.1,0.04,0,0.04,0.04,0.04,0.01,0,0.01,0.01,0.01
210,Diego González,es ESP,DF,Elche,25,1995,19,15,1280,14.2,0.07,0,0.07,0.07,0.07,0.04,0,0.04,0.04,0.04
211,Sergio González,es ESP,MF,Cádiz,23,1997,1,1,90,1,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
212,Urko González,es ESP,MF,Real Sociedad,19,2001,2,1,47,0.5,0,0,0,0,0,0,0.07,0.07,0,0.07
213,Andoni Gorosabel,es ESP,DF,Real Sociedad,23,1996,32,28,2382,26.5,0,0.04,0.04,0,0.04,0.02,0.09,0.11,0.02,0.11
214,Antoine Griezmann,fr FRA,"FW,MF",Barcelona,29,1991,36,32,2604,28.9,0.45,0.24,0.69,0.41,0.66,0.48,0.19,0.67,0.43,0.62
215,Andrés Guardado,mx MEX,MF,Betis,33,1986,24,17,1318,14.6,0.07,0,0.07,0.07,0.07,0.02,0.04,0.06,0.02,0.06
216,Sergi Guardiola,es ESP,FW,Valladolid,29,1991,29,19,1795,19.9,0.05,0.1,0.15,0,0.1,0.25,0.08,0.33,0.18,0.25
217,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,28,1991,30,10,1041,11.6,0,0,0,0,0,0.02,0,0.02,0.02,0.02
218,Gonçalo Guedes,pt POR,"MF,FW",Valencia,23,1996,31,27,2287,25.4,0.2,0.2,0.39,0.2,0.39,0.14,0.14,0.28,0.14,0.28
219,Ander Guevara,es ESP,MF,Real Sociedad,23,1997,31,25,2081,23.1,0.04,0.04,0.09,0.04,0.09,0.02,0.03,0.06,0.02,0.06
220,John Guidetti,se SWE,"FW,MF",Alavés,28,1992,10,1,208,2.3,0.43,0,0.43,0.43,0.43,0.48,0.01,0.49,0.48,0.49
221,Hugo Guillamón,es ESP,DF,Valencia,20,2000,25,21,1988,22.1,0.05,0,0.05,0.05,0.05,0.02,0,0.02,0.02,0.02
222,Jon Guridi,es ESP,MF,Real Sociedad,25,1995,17,8,831,9.2,0,0.11,0.11,0,0.11,0.08,0.08,0.16,0.08,0.16
223,Raúl Guti,es ESP,MF,Elche,23,1996,36,33,2862,31.8,0.09,0.03,0.13,0.09,0.13,0.05,0.02,0.07,0.05,0.07
224,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,29,1991,24,22,1825,20.3,0.1,0,0.1,0.1,0.1,0.07,0,0.08,0.07,0.08
225,Miguel Gutiérrez,es ESP,DF,Real Madrid,19,2001,6,3,316,3.5,0,0.28,0.28,0,0.28,0,0.06,0.06,0,0.06
226,Munir El Haddadi,ma MAR,FW,Sevilla,24,1995,24,9,845,9.4,0.43,0.21,0.64,0.43,0.64,0.37,0.17,0.55,0.37,0.55
227,Eden Hazard,be BEL,"FW,MF",Real Madrid,29,1991,14,7,532,5.9,0.51,0.34,0.85,0.51,0.85,0.27,0.14,0.4,0.27,0.4
228,Mario Hermoso,es ESP,DF,Atlético Madrid,25,1995,31,30,2578,28.6,0.03,0.03,0.07,0.03,0.07,0.04,0.02,0.06,0.04,0.06
229,Aridane Hernández,gq EQG,DF,Osasuna,31,1989,24,24,2026,22.5,0,0,0,0,0,0,0.02,0.03,0,0.03
230,Héctor Herrera,mx MEX,MF,Atlético Madrid,30,1990,16,8,682,7.6,0,0.13,0.13,0,0.13,0.03,0.04,0.08,0.03,0.08
231,Sergio Herrera,es ESP,GK,Osasuna,27,1993,33,32,2958,32.9,0,0,0,0,0,0,0,0,0,0
232,Yangel Herrera,ve VEN,MF,Granada,22,1998,32,25,2310,25.7,0.12,0.04,0.16,0.12,0.16,0.07,0.04,0.12,0.07,0.12
233,Pablo Hervías,es ESP,"DF,MF",Valladolid,27,1993,27,10,1204,13.4,0,0.37,0.37,0,0.37,0.04,0.25,0.29,0.04,0.29
234,Jordan Holsgrove,sco SCO,MF,Celta Vigo,20,1999,5,0,145,1.6,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
235,Vicente Iborra,es ESP,MF,Villarreal,32,1988,13,10,928,10.3,0,0,0,0,0,0.02,0.02,0.03,0.02,0.03
236,Oussama Idrissi,ma MAR,"FW,MF",Sevilla,24,1996,3,0,27,0.3,0,0,0,0,0,0.96,0,0.96,0.96,0.96
237,Iglesias,es ESP,"DF,MF",Getafe,22,1998,10,7,605,6.7,0,0,0,0,0,0.02,0.05,0.06,0.02,0.06
238,Borja Iglesias,es ESP,FW,Betis,27,1993,28,15,1411,15.7,0.7,0,0.7,0.38,0.38,0.49,0.03,0.52,0.25,0.28
239,Ilaix,es ESP,MF,Barcelona,17,2003,14,4,542,6,0.17,0.33,0.5,0.17,0.5,0.19,0.14,0.33,0.19,0.33
240,Asier Illarramendi,es ESP,MF,Real Sociedad,30,1990,6,6,337,3.7,0,0,0,0,0,0,0.01,0.01,0,0.01
241,Pablo Insua,es ESP,DF,Huesca,26,1993,20,17,1587,17.6,0,0,0,0,0,0.01,0,0.01,0.01,0.01
242,Takashi Inui,jp JPN,"MF,FW",Eibar,32,1988,28,22,1819,20.2,0.05,0,0.05,0.05,0.05,0.12,0.09,0.21,0.12,0.21
243,Alexander Isak,se SWE,FW,Real Sociedad,20,1999,34,30,2340,26,0.65,0.08,0.73,0.65,0.73,0.6,0.09,0.68,0.57,0.66
244,Isco,es ESP,"MF,FW",Real Madrid,28,1992,25,8,908,10.1,0,0.2,0.2,0,0.2,0.18,0.17,0.35,0.18,0.35
245,Jairo Izquierdo,es ESP,"MF,DF",Cádiz,26,1993,30,11,1277,14.2,0.07,0,0.07,0.07,0.07,0.06,0.07,0.12,0.06,0.12
246,Saidy Janko,ch SUI,DF,Valladolid,24,1995,19,14,1220,13.6,0,0.07,0.07,0,0.07,0.03,0.03,0.06,0.03,0.06
247,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,25,1995,27,12,1014,11.3,0.36,0.44,0.8,0.09,0.53,0.45,0.39,0.85,0.25,0.64
248,Jason,es ESP,"MF,DF",Valencia,26,1994,17,4,441,4.9,0,0,0,0,0,0.03,0.12,0.16,0.03,0.16
249,Luis Javier Suárez,co COL,"FW,MF",Granada,22,1997,27,18,1666,18.5,0.27,0.05,0.32,0.27,0.32,0.36,0.07,0.43,0.36,0.43
250,Joaquín,es ESP,"FW,MF",Betis,39,1981,27,16,1291,14.3,0.14,0.42,0.56,0.14,0.56,0.07,0.18,0.24,0.07,0.24
251,John Joe,ie IRL,"MF,DF",Getafe,16,2003,6,0,65,0.7,0,0,0,0,0,0.18,0,0.18,0.18,0.18
252,Frenkie de Jong,nl NED,"MF,DF",Barcelona,23,1997,37,35,3154,35,0.09,0.11,0.2,0.09,0.2,0.16,0.16,0.31,0.16,0.31
253,Luuk de Jong,nl NED,FW,Sevilla,29,1990,34,14,1268,14.1,0.28,0,0.28,0.28,0.28,0.27,0.08,0.35,0.27,0.35
254,Jony,es ESP,"MF,FW",Osasuna,29,1991,22,9,871,9.7,0,0.21,0.21,0,0.21,0.07,0.24,0.31,0.07,0.31
255,Joan Jordán,es ESP,MF,Sevilla,26,1994,35,28,2406,26.7,0.04,0.22,0.26,0.04,0.26,0.05,0.11,0.16,0.05,0.16
256,Josan,es ESP,"MF,DF",Elche,30,1989,33,24,1926,21.4,0.19,0.09,0.28,0.19,0.28,0.08,0.07,0.15,0.08,0.15
257,Willian José,br BRA,FW,Real Sociedad,28,1991,13,8,689,7.7,0.39,0.13,0.52,0.39,0.52,0.56,0.11,0.67,0.46,0.58
258,Joselu,es ESP,FW,Alavés,30,1990,37,34,3026,33.6,0.33,0.09,0.42,0.27,0.36,0.41,0.09,0.5,0.32,0.41
259,Josema,es ESP,DF,Elche,24,1996,29,21,1966,21.8,0,0.05,0.05,0,0.05,0.01,0.03,0.04,0.01,0.04
260,Jota,es ESP,MF,Alavés,29,1991,23,18,1398,15.5,0,0.13,0.13,0,0.13,0.06,0.12,0.18,0.06,0.18
261,Jota,pt POR,FW,Valladolid,21,1999,17,7,668,7.4,0.13,0,0.13,0.13,0.13,,,,,
262,Luka Jović,rs SRB,"FW,MF",Real Madrid,22,1997,4,2,149,1.7,0,0,0,0,0,0.67,0.08,0.75,0.67,0.75
263,Juanmi,es ESP,"FW,MF",Betis,27,1993,16,5,604,6.7,0.3,0,0.3,0.3,0.3,0.45,0.01,0.46,0.45,0.46
264,Vinicius Júnior,br BRA,FW,Real Madrid,20,2000,35,22,1969,21.9,0.14,0.14,0.27,0.14,0.27,0.3,0.14,0.44,0.3,0.44
265,Jens Jønsson,dk DEN,MF,Cádiz,27,1993,35,33,2615,29.1,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
266,Damian Kądzior,pl POL,"FW,MF",Eibar,28,1992,6,2,195,2.2,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
267,Lee Kangin,kr KOR,"FW,MF",Valencia,19,2001,24,15,1262,14,0,0.29,0.29,0,0.29,0.09,0.18,0.27,0.09,0.27
268,Stephane Keller,cm CMR,DF,Alavés,18,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0
269,Kenedy,br BRA,"FW,MF",Granada,24,1996,28,18,1471,16.3,0.24,0.18,0.43,0.24,0.43,0.13,0.16,0.29,0.13,0.29
270,Kike,es ESP,FW,Eibar,30,1989,37,36,3087,34.3,0.35,0.06,0.41,0.35,0.41,0.31,0.06,0.37,0.31,0.37
271,Giorgi Kochorashvili,ge GEO,MF,Levante,21,1999,3,0,23,0.3,0,0,0,0,0,0.03,0.15,0.18,0.03,0.18
272,Kenan Kodro,ba BIH,FW,Valladolid,26,1993,14,4,459,5.1,0,0,0,0,0,0.21,0.03,0.24,0.21,0.24
273,Kenan Kodro,ba BIH,"FW,MF",Athletic Club,26,1993,3,0,44,0.5,2.05,0,2.05,0,0,1.6,0,1.6,0.04,0.04
274,Koba Koindredi,fr FRA,MF,Valencia,18,2001,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0
275,Koke,es ESP,MF,Atlético Madrid,28,1992,37,34,3021,33.6,0.03,0.06,0.09,0.03,0.09,0.06,0.08,0.13,0.06,0.13
276,Geoffrey Kondogbia,cf CTA,MF,Valencia,27,1993,5,5,440,4.9,0,0,0,0,0,0.01,0,0.01,0.01,0.01
277,Geoffrey Kondogbia,cf CTA,"MF,FW",Atlético Madrid,27,1993,25,4,611,6.8,0,0,0,0,0,0.02,0.04,0.07,0.02,0.07
278,Youssouf Koné,ml MLI,"DF,FW",Elche,25,1995,3,1,73,0.8,0,0,0,0,0,0,0,0,0,0
279,Jules Koundé,fr FRA,DF,Sevilla,21,1998,34,33,2975,33.1,0.06,0.03,0.09,0.06,0.09,0.06,0.02,0.08,0.06,0.08
280,Toni Kroos,de GER,MF,Real Madrid,30,1990,28,24,2117,23.5,0.13,0.43,0.55,0.13,0.55,0.09,0.28,0.38,0.09,0.38
281,Takefusa Kubo,jp JPN,"MF,FW",Villarreal,19,2001,13,2,299,3.3,0,0,0,0,0,0.41,0.16,0.57,0.41,0.57
282,Takefusa Kubo,jp JPN,"MF,FW",Getafe,19,2001,18,8,805,8.9,0.11,0.11,0.22,0.11,0.22,0.1,0.09,0.19,0.1,0.19
283,Kuki,es ESP,MF,Valladolid,22,1998,2,0,30,0.3,0,3,3,0,3,0,0.16,0.16,0,0.16
284,Víctor Laguardia,es ESP,DF,Alavés,30,1989,32,30,2631,29.2,0,0.03,0.03,0,0.03,0.04,0.03,0.07,0.04,0.07
285,Diego Lainez,mx MEX,FW,Betis,20,2000,21,8,862,9.6,0,0.21,0.21,0,0.21,0.1,0.09,0.19,0.1,0.19
286,Toni Lato,es ESP,DF,Valencia,22,1997,15,8,728,8.1,0.12,0,0.12,0.12,0.12,0.12,0.04,0.16,0.12,0.16
287,Lauti,uy URU,"MF,FW",Celta Vigo,19,2001,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0
288,Robin Le Normand,fr FRA,DF,Real Sociedad,23,1996,33,30,2747,30.5,0,0.03,0.03,0,0.03,0.07,0,0.07,0.07,0.07
289,Jeremías Ledesma,ar ARG,GK,Cádiz,27,1993,32,32,2880,32,0,0,0,0,0,0,0,0,0,0
290,Florian Lejeune,fr FRA,DF,Alavés,29,1991,34,34,3015,33.5,0.03,0.03,0.06,0.03,0.06,0.06,0.01,0.07,0.06,0.07
291,Iñigo Lekue,es ESP,DF,Athletic Club,27,1993,18,5,644,7.2,0,0,0,0,0,0.01,0.06,0.07,0.01,0.07
