Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
292,Thomas Lemar,fr FRA,MF,Atlético Madrid,24,1995,27,19,1366,15.2,0.07,0.2,0.26,0.07,0.26,0.09,0.13,0.22,0.09,0.22
293,Clément Lenglet,fr FRA,DF,Barcelona,25,1995,33,29,2475,27.5,0.04,0,0.04,0.04,0.04,0.05,0.03,0.08,0.05,0.08
294,Pedro León,es ESP,"MF,FW",Eibar,33,1986,24,10,935,10.4,0.1,0.19,0.29,0.1,0.29,0.12,0.22,0.34,0.12,0.34
295,Sergio León,es ESP,FW,Levante,31,1989,28,6,748,8.3,0.24,0,0.24,0.24,0.24,0.28,0.04,0.32,0.28,0.32
296,Diego Llorente,es ESP,DF,Real Sociedad,26,1993,1,1,90,1,0,0,0,0,0,0,0,0,0,0
297,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,25,1995,37,33,2956,32.8,0.37,0.33,0.7,0.37,0.7,0.13,0.16,0.29,0.13,0.29
298,Renan Lodi,br BRA,DF,Atlético Madrid,22,1998,23,11,1129,12.5,0.08,0.16,0.24,0.08,0.24,0.06,0.09,0.15,0.06,0.15
299,Pedro López Muñoz,es ESP,DF,Huesca,36,1983,22,10,1067,11.9,0,0.08,0.08,0,0.08,0.01,0.06,0.07,0.01,0.07
300,Adrián López,es ESP,"FW,MF",Osasuna,32,1988,17,5,481,5.3,0.19,0.19,0.37,0.19,0.37,0.24,0.15,0.39,0.24,0.39
301,Javi López,es ESP,"DF,MF",Alavés,18,2002,9,1,248,2.8,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07
302,Roberto López,es ESP,"MF,FW",Real Sociedad,20,2000,17,4,505,5.6,0.53,0,0.53,0.53,0.53,0.17,0.3,0.47,0.17,0.47
303,Unai López,es ESP,MF,Athletic Club,24,1995,26,15,1424,15.8,0.19,0,0.19,0.19,0.19,0.08,0.08,0.15,0.08,0.15
304,Anthony Lozano,hn HON,"FW,MF",Cádiz,27,1993,29,18,1523,16.9,0.18,0.06,0.24,0.18,0.24,0.32,0.06,0.37,0.32,0.37
305,Jeison Lucumí,co COL,FW,Elche,25,1995,2,1,49,0.5,0,0,0,0,0,0,0,0,0,0
306,José Luis Gayà,es ESP,DF,Valencia,25,1995,33,32,2846,31.6,0.03,0.22,0.25,0.03,0.25,0.06,0.15,0.21,0.06,0.21
307,José Luis Morales,es ESP,"FW,MF",Levante,33,1987,38,30,2439,27.1,0.48,0.11,0.59,0.48,0.59,0.31,0.13,0.44,0.28,0.41
308,Luisinho,pt POR,DF,Huesca,35,1985,5,2,179,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01
309,Luismi,es ESP,"MF,DF",Elche,28,1992,11,2,168,1.9,0,0,0,0,0,0,0,0,0,0
310,Darwin Machís,ve VEN,"FW,MF",Granada,27,1993,32,21,2026,22.5,0.18,0.22,0.4,0.18,0.4,0.21,0.19,0.4,0.18,0.36
311,Pablo Maffeo,es ESP,DF,Huesca,23,1997,25,25,1964,21.8,0.05,0.18,0.23,0.05,0.23,0.03,0.09,0.12,0.03,0.12
312,Abdallahi Mahmoud,mr MTN,MF,Alavés,20,2000,2,1,66,0.7,0,0,0,0,0,0,0.02,0.02,0,0.02
313,Nemanja Maksimović,rs SRB,MF,Getafe,25,1995,35,34,2728,30.3,0.03,0,0.03,0.03,0.03,0.06,0.04,0.1,0.06,0.1
314,Filip Malbašić,rs SRB,"FW,MF",Cádiz,27,1992,28,8,860,9.6,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
315,Hugo Mallo,es ESP,DF,Celta Vigo,29,1991,31,30,2602,28.9,0.1,0.03,0.14,0.1,0.14,0.05,0.08,0.13,0.05,0.13
316,Mickael Malsa,mq MTQ,MF,Levante,24,1995,35,25,2338,26,0.04,0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08
317,Aïssa Mandi,dz ALG,DF,Betis,28,1991,28,27,2392,26.6,0.11,0.04,0.15,0.11,0.15,0.09,0.01,0.09,0.09,0.09
318,Eliaquim Mangala,fr FRA,DF,Valencia,29,1991,7,4,321,3.6,0,0,0,0,0,0.15,0,0.15,0.15,0.15
319,Maranhão,br BRA,FW,Valladolid,23,1996,23,11,1177,13.1,0.31,0.08,0.38,0.31,0.38,0.29,0.05,0.33,0.29,0.33
320,Marcelo,br BRA,DF,Real Madrid,32,1988,16,12,1050,11.7,0,0.17,0.17,0,0.17,0.04,0.1,0.13,0.04,0.13
321,Iván Marcone,ar ARG,MF,Elche,30,1990,33,30,2645,29.4,0,0,0,0,0,0,0.02,0.02,0,0.02
322,Óscar de Marcos,es ESP,"DF,MF",Athletic Club,31,1989,25,17,1520,16.9,0.06,0.12,0.18,0.06,0.18,0.08,0.11,0.19,0.08,0.19
323,José Mari,es ESP,MF,Cádiz,32,1987,22,18,1451,16.1,0.06,0,0.06,0,0,0.07,0.03,0.1,0.02,0.05
324,José María Giménez,uy URU,DF,Atlético Madrid,25,1995,21,20,1765,19.6,0,0,0,0,0,0.05,0.01,0.06,0.05,0.06
325,Mariano,do DOM,FW,Real Madrid,26,1993,16,5,513,5.7,0.18,0,0.18,0.18,0.18,0.26,0.03,0.28,0.26,0.28
326,Adrián Marín,es ESP,"DF,MF",Alavés,23,1997,5,1,93,1,0,0,0,0,0,0.07,0.52,0.58,0.07,0.58
327,Adrián Marín,es ESP,"DF,FW",Granada,23,1997,9,3,269,3,0,0.33,0.33,0,0.33,0.03,0.04,0.07,0.03,0.07
328,Roger Martí,es ESP,FW,Levante,29,1991,33,26,2198,24.4,0.49,0.16,0.66,0.41,0.57,0.38,0.1,0.48,0.26,0.36
329,Aarón Martín,es ESP,DF,Celta Vigo,23,1997,19,17,1540,17.1,0,0.18,0.18,0,0.18,0.01,0.07,0.08,0.01,0.08
330,Álex Martín,es ESP,DF,Cádiz,22,1998,2,1,96,1.1,0,0,0,0,0,0,0,0,0,0
331,Iñigo Martínez,es ESP,DF,Athletic Club,29,1991,28,28,2519,28,0.04,0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07
332,Javi Martínez,es ESP,"MF,FW",Osasuna,20,1999,13,6,460,5.1,0.2,0.2,0.39,0.2,0.39,0.11,0.1,0.21,0.11,0.21
333,Marvin,es ESP,"DF,FW",Real Madrid,20,2000,4,2,133,1.5,0,0.68,0.68,0,0.68,0.11,0.13,0.24,0.11,0.24
334,Jordi Masip,es ESP,GK,Valladolid,31,1989,25,25,2250,25,0,0,0,0,0,0,0,0,0,0
335,Jaime Mata,es ESP,FW,Getafe,31,1988,33,23,2037,22.6,0.22,0,0.22,0.18,0.18,0.29,0.05,0.34,0.23,0.28
336,Borja Mayoral,es ESP,FW,Real Madrid,23,1997,2,0,23,0.3,0,0,0,0,0,0,0,0,0,0
337,Gonzalo Melero,es ESP,"MF,FW",Levante,26,1994,29,21,1853,20.6,0.34,0.05,0.39,0.34,0.39,0.15,0.08,0.23,0.15,0.23
338,Brais Méndez,es ESP,"MF,FW",Celta Vigo,23,1997,34,30,2671,29.7,0.3,0,0.3,0.27,0.27,0.25,0.07,0.32,0.23,0.29
339,Édgar Méndez,es ESP,"MF,FW",Alavés,30,1990,33,26,2090,23.2,0.22,0.04,0.26,0.22,0.26,0.23,0.06,0.3,0.23,0.3
340,Eñaut Mendía,es ESP,FW,Eibar,21,1999,1,1,61,0.7,0,0,0,0,0,0.02,0,0.02,0.02,0.02
341,Ferland Mendy,fr FRA,DF,Real Madrid,25,1995,26,24,2208,24.5,0.04,0,0.04,0.04,0.04,0.02,0.07,0.09,0.02,0.09
342,Mikel Merino,es ESP,MF,Real Sociedad,24,1996,26,25,2154,23.9,0.08,0.17,0.25,0.08,0.25,0.16,0.09,0.24,0.16,0.24
343,Martín Merquelanz,es ESP,"FW,MF",Real Sociedad,25,1995,13,4,549,6.1,0,0.16,0.16,0,0.16,0.19,0.29,0.47,0.19,0.47
344,Roque Mesa,es ESP,MF,Valladolid,31,1989,25,21,1761,19.6,0.05,0,0.05,0,0,0.08,0.06,0.14,0.05,0.1
345,Lionel Messi,ar ARG,"FW,MF",Barcelona,33,1987,35,33,3023,33.6,0.89,0.27,1.16,0.8,1.07,0.7,0.32,1.02,0.58,0.9
346,Omenuke Mfulu,cd COD,MF,Elche,26,1994,20,9,789,8.8,0,0,0,0,0,0.01,0,0.01,0.01,0.01
347,Míchel,es ESP,MF,Valladolid,32,1988,22,10,946,10.5,0.19,0,0.19,0.19,0.19,0.05,0.07,0.13,0.05,0.13
348,Éder Militão,br BRA,DF,Real Madrid,22,1998,14,13,1133,12.6,0.08,0,0.08,0.08,0.08,0.09,0,0.09,0.09,0.09
349,Luis Milla,es ESP,MF,Granada,25,1994,16,14,1253,13.9,0.07,0.07,0.14,0.07,0.14,0.04,0.15,0.19,0.04,0.19
350,Pere Milla,es ESP,"FW,MF",Elche,27,1992,32,22,1981,22,0.18,0.14,0.32,0.18,0.32,0.25,0.08,0.33,0.25,0.33
351,Alejandro Millán,es ESP,FW,Villarreal,20,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0
352,Santi Mina,es ESP,FW,Celta Vigo,24,1995,34,29,2412,26.8,0.45,0.11,0.56,0.41,0.52,0.33,0.05,0.38,0.3,0.35
353,Óscar Mingueza,es ESP,DF,Barcelona,21,1999,27,23,1901,21.1,0.09,0.09,0.19,0.09,0.19,0.05,0.05,0.09,0.05,0.09
354,Rafa Mir,es ESP,FW,Huesca,23,1997,38,32,2877,32,0.41,0.03,0.44,0.34,0.38,0.43,0.06,0.48,0.36,0.41
355,Jorge Miramón,es ESP,DF,Levante,31,1989,26,19,1732,19.2,0,0.16,0.16,0,0.16,0.04,0.07,0.1,0.04,0.1
356,Juan Miranda,es ESP,DF,Betis,20,2000,22,18,1652,18.4,0.05,0.11,0.16,0.05,0.16,0.03,0.07,0.1,0.03,0.1
357,Luka Modrić,hr CRO,MF,Real Madrid,34,1985,35,32,2733,30.4,0.16,0.1,0.26,0.16,0.26,0.09,0.14,0.23,0.09,0.23
358,Johan Mojica,co COL,DF,Elche,27,1992,17,14,1204,13.4,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06
359,Guillem Molina,es ESP,DF,Valencia,20,2000,2,1,153,1.7,0,0,0,0,0,0,0,0,0,0
360,Jorge Molina,es ESP,"FW,MF",Granada,38,1982,33,17,1615,17.9,0.45,0.11,0.56,0.45,0.56,0.28,0.12,0.4,0.24,0.36
361,Victor Mollejo,es ESP,"MF,DF",Getafe,19,2001,4,0,72,0.8,0,0,0,0,0,0,0.08,0.08,0,0.08
362,Jon Moncayola,es ESP,MF,Osasuna,22,1998,36,28,2660,29.6,0.07,0,0.07,0.07,0.07,0.05,0.04,0.09,0.05,0.09
363,Nacho Monreal,es ESP,DF,Real Sociedad,34,1986,26,23,2082,23.1,0.04,0.04,0.09,0.04,0.09,0.03,0.05,0.08,0.03,0.08
364,Ángel Montoro,es ESP,MF,Granada,32,1988,22,17,1362,15.1,0.07,0.07,0.13,0,0.07,0.09,0.11,0.2,0.04,0.15
365,Martín Montoya,es ESP,DF,Betis,29,1991,5,2,239,2.7,0,0,0,0,0,0.02,0.13,0.15,0.02,0.15
366,Emre Mor,tr TUR,"FW,MF",Celta Vigo,23,1997,11,6,500,5.6,0,0,0,0,0,0.06,0.03,0.1,0.06,0.1
367,Jon Morcillo,es ESP,"MF,FW",Athletic Club,21,1998,30,16,1363,15.1,0.13,0.13,0.26,0.13,0.26,0.1,0.19,0.29,0.1,0.29
368,Alberto Moreno,es ESP,DF,Villarreal,28,1992,5,2,193,2.1,0,0,0,0,0,0.12,0,0.12,0.12,0.12
369,Álex Moreno,es ESP,DF,Betis,27,1993,23,20,1786,19.8,0,0.1,0.1,0,0.1,0.04,0.1,0.14,0.04,0.14
370,Gerard Moreno,es ESP,"FW,MF",Villarreal,28,1992,33,30,2673,29.7,0.77,0.24,1.01,0.44,0.67,0.64,0.26,0.9,0.39,0.65
371,Tete Morente,es ESP,"MF,FW",Elche,23,1996,30,23,2019,22.4,0.09,0.22,0.31,0.09,0.31,0.11,0.11,0.21,0.11,0.21
372,Loren Morón,es ESP,"FW,MF",Betis,26,1993,26,9,991,11,0.09,0,0.09,0.09,0.09,0.22,0.03,0.25,0.22,0.25
373,Pedro Mosquera,es ESP,MF,Huesca,32,1988,27,24,2050,22.8,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
374,Javi Moyano,es ESP,DF,Valladolid,34,1986,2,2,103,1.1,0,0,0,0,0,0,0,0,0,0
375,Iker Muniain,es ESP,"MF,FW",Athletic Club,27,1992,28,23,1943,21.6,0.23,0.14,0.37,0.23,0.37,0.18,0.14,0.32,0.18,0.32
376,Aihen Muñoz,es ESP,DF,Real Sociedad,22,1997,16,14,1210,13.4,0,0.07,0.07,0,0.07,0.02,0.05,0.07,0.02,0.07
377,Joaquín Muñoz,es ESP,FW,Huesca,21,1999,3,0,41,0.5,0,0,0,0,0,0.05,0.02,0.07,0.05,0.07
378,Jeison Murillo,co COL,DF,Celta Vigo,28,1992,31,31,2699,30,0.07,0,0.07,0.07,0.07,0.02,0.01,0.02,0.02,0.02
379,Yunus Musah,us USA,MF,Valencia,17,2002,32,17,1530,17,0.06,0,0.06,0.06,0.06,0.04,0.04,0.09,0.04,0.09
380,Yoshinori Mutō,jp JPN,"FW,MF",Eibar,28,1992,26,13,1122,12.5,0.08,0.08,0.16,0.08,0.16,0.16,0.09,0.25,0.16,0.25
381,Nacho,es ESP,DF,Real Madrid,30,1990,24,22,2000,22.2,0.05,0,0.05,0.05,0.05,0.07,0.02,0.09,0.07,0.09
382,Nacho,es ESP,DF,Valladolid,31,1989,23,21,1813,20.1,0,0.05,0.05,0,0.05,0.02,0.08,0.09,0.02,0.09
383,Nano,es ESP,"FW,MF",Cádiz,25,1995,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0
384,Roberto Navarro,es ESP,MF,Real Sociedad,18,2002,1,0,35,0.4,0,0,0,0,0,0,0.07,0.07,0,0.07
385,Ximo Navarro,es ESP,DF,Alavés,30,1990,31,28,2375,26.4,0.04,0.04,0.08,0.04,0.08,0.01,0.04,0.05,0.01,0.05
386,Jesús Navas,es ESP,DF,Sevilla,34,1985,34,34,2827,31.4,0,0.19,0.19,0,0.19,0.03,0.17,0.2,0.03,0.2
387,Raúl Navas,es ESP,DF,Osasuna,32,1988,2,2,168,1.9,0,0,0,0,0,0,0.01,0.01,0,0.01
388,Álvaro Negredo,es ESP,FW,Cádiz,34,1985,35,29,2198,24.4,0.33,0.16,0.49,0.33,0.49,0.26,0.15,0.4,0.26,0.4
389,Neto,br BRA,GK,Barcelona,31,1989,7,7,630,7,0,0,0,0,0,0,0,0,0,0
390,Carlos Neva,es ESP,DF,Granada,24,1996,22,21,1797,20,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
391,Mamor Niang,sn SEN,"FW,MF",Getafe,18,2002,1,0,22,0.2,0,0,0,0,0,0.24,0,0.24,0.24,0.24
392,Nieto,es ESP,"FW,MF",Cádiz,22,1998,2,0,14,0.2,0,0,0,0,0,1.73,0,1.73,1.73,1.73
393,Saúl Ñíguez,es ESP,"MF,DF",Atlético Madrid,25,1994,33,22,2033,22.6,0.09,0.04,0.13,0.09,0.13,0.12,0.09,0.21,0.08,0.17
394,Nino,es ESP,"FW,MF",Elche,40,1980,16,0,284,3.2,0,0,0,0,0,0.1,0.25,0.35,0.1,0.35
395,Fernando Niño,es ESP,FW,Villarreal,19,2000,17,8,593,6.6,0.46,0,0.46,0.46,0.46,0.66,0.03,0.69,0.66,0.69
396,Nolito,es ESP,"MF,FW",Celta Vigo,33,1986,36,35,2597,28.9,0.24,0.17,0.42,0.24,0.42,0.23,0.2,0.43,0.23,0.43
397,Unai Núñez,es ESP,DF,Athletic Club,23,1997,25,23,2109,23.4,0.04,0.04,0.09,0.04,0.09,0.08,0.03,0.11,0.08,0.11
398,Kelechi Nwakali,ng NGA,"MF,FW",Huesca,22,1998,5,1,141,1.6,0,0,0,0,0,0,0.01,0.01,0,0.01
399,Allan Nyom,cm CMR,"MF,DF",Getafe,32,1988,31,28,2323,25.8,0,0.08,0.08,0,0.08,0.02,0.08,0.11,0.02,0.11
400,Jan Oblak,si SVN,GK,Atlético Madrid,27,1993,38,38,3420,38,0,0,0,0,0,0,0,0,0,0
401,Lucas Ocampos,ar ARG,FW,Sevilla,26,1994,34,30,2631,29.2,0.17,0.14,0.31,0.03,0.17,0.36,0.12,0.49,0.23,0.36
402,Álvaro Odriozola,es ESP,DF,Real Madrid,24,1995,13,9,829,9.2,0.22,0,0.22,0.22,0.22,0.08,0.07,0.14,0.08,0.14
403,Shinji Okazaki,jp JPN,FW,Huesca,34,1986,25,14,1128,12.5,0.08,0.08,0.16,0.08,0.16,0.16,0.03,0.18,0.16,0.18
404,Lucas Olaza,uy URU,DF,Celta Vigo,26,1994,18,18,1615,17.9,0,0.11,0.11,0,0.11,0.02,0.12,0.14,0.02,0.14
405,Lucas Olaza,uy URU,DF,Valladolid,26,1994,14,14,1260,14,0.07,0.07,0.14,0.07,0.14,0.04,0.07,0.11,0.04,0.11
406,Christian Oliva,uy URU,MF,Valencia,24,1996,9,1,198,2.2,0,0.91,0.91,0,0.91,0.01,0.08,0.09,0.01,0.09
407,Kiko Olivas,es ESP,"DF,MF",Valladolid,31,1988,5,1,177,2,0,0,0,0,0,0,0,0,0,0
408,Paulo Oliveira,pt POR,DF,Eibar,28,1992,31,29,2641,29.3,0,0.03,0.03,0,0.03,0.02,0.01,0.02,0.02,0.02
409,Mathías Olivera,uy URU,DF,Getafe,22,1997,31,30,2614,29,0,0,0,0,0,0.08,0.06,0.14,0.08,0.14
410,Javier Ontiveros,es ESP,"FW,MF",Huesca,22,1997,20,10,918,10.2,0.2,0.1,0.29,0.1,0.2,0.18,0.16,0.34,0.11,0.27
411,Fabián Orellana,cl CHI,"MF,FW",Valladolid,34,1986,30,27,2138,23.8,0.25,0.08,0.34,0.08,0.17,0.25,0.17,0.42,0.12,0.29
412,Mikel Oyarzabal,es ESP,"FW,MF",Real Sociedad,23,1997,33,30,2408,26.8,0.41,0.3,0.71,0.19,0.49,0.41,0.22,0.63,0.2,0.42
413,Fernando Pacheco,es ESP,GK,Alavés,28,1992,38,37,3349,37.2,0,0,0,0,0,0,0,0,0,0
414,Jon Pacheco,es ESP,DF,Real Sociedad,19,2001,1,0,32,0.4,0,0,0,0,0,0.05,0,0.05,0.05,0.05
415,Helibelton Palacios,co COL,DF,Elche,27,1993,11,8,743,8.3,0,0,0,0,0,0,0.02,0.02,0,0.02
416,Ante Palaversa,hr CRO,"MF,FW",Getafe,20,2000,2,0,9,0.1,0,0,0,0,0,0,0.57,0.57,0,0.57
417,Daniel Parejo,es ESP,MF,Villarreal,31,1989,36,36,3112,34.6,0.09,0.14,0.23,0.09,0.23,0.04,0.16,0.2,0.04,0.2
418,Thomas Partey,gh GHA,MF,Atlético Madrid,27,1993,3,2,200,2.2,0,0,0,0,0,0.05,0,0.05,0.05,0.05
419,Gabriel Paulista,br BRA,DF,Valencia,29,1990,31,31,2716,30.2,0.13,0.03,0.17,0.13,0.17,0.03,0,0.04,0.03,0.04
420,Alfonso Pedraza,es ESP,DF,Villarreal,24,1996,29,24,2093,23.3,0.04,0.09,0.13,0.04,0.13,0.08,0.2,0.28,0.08,0.28
421,Pedri,es ESP,MF,Barcelona,17,2002,37,28,2415,26.8,0.11,0.11,0.22,0.11,0.22,0.15,0.18,0.32,0.14,0.32
422,Facundo Pellistri,uy URU,"MF,FW",Alavés,18,2001,12,5,542,6,0,0,0,0,0,0.06,0.01,0.07,0.06,0.07
423,Rubén Peña,es ESP,DF,Villarreal,29,1991,19,12,1116,12.4,0.08,0.08,0.16,0.08,0.16,0.04,0.04,0.08,0.04,0.08
424,Pepe,es ESP,DF,Granada,20,2000,3,3,253,2.8,0,0,0,0,0,0.01,0,0.01,0.01,0.01
425,Alberto Perea,es ESP,MF,Cádiz,29,1990,27,16,1549,17.2,0.12,0.17,0.29,0.12,0.29,0.08,0.14,0.21,0.08,0.21
426,Iñigo Pérez,es ESP,"MF,DF",Osasuna,32,1988,22,16,1347,15,0,0,0,0,0,0.03,0.04,0.07,0.03,0.07
427,Juan Pérez,es ESP,GK,Osasuna,24,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0
428,Kike Pérez,es ESP,MF,Valladolid,23,1997,24,12,1159,12.9,0,0,0,0,0,0.08,0.08,0.15,0.08,0.15
429,Lucas Pérez,es ESP,FW,Alavés,31,1988,28,19,1759,19.5,0.2,0.2,0.41,0.05,0.26,0.33,0.25,0.58,0.18,0.42
430,Luis Pérez,es ESP,DF,Valladolid,25,1995,22,15,1297,14.4,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
431,Nehuén Pérez,ar ARG,DF,Granada,20,2000,14,9,741,8.2,0,0,0,0,0,0.09,0,0.09,0.09,0.09
432,Pablo Piatti,ar ARG,"MF,FW",Elche,31,1989,9,3,361,4,0,0,0,0,0,0.12,0.08,0.2,0.12,0.2
433,Cristiano Piccini,it ITA,DF,Valencia,27,1992,3,0,67,0.7,0,0,0,0,0,0.02,0,0.02,0.02,0.02
434,Tomás Pina Isla,es ESP,MF,Alavés,32,1987,33,31,2575,28.6,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04
