Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,G+A-PK,xG,xA,xG+xA,npxG,npxG+xA
435,Yeremi Pino,es ESP,"FW,MF",Villarreal,17,2002,24,6,797,8.9,0.34,0.11,0.45,0.34,0.45,0.17,0.1,0.27,0.17,0.27
436,Gerard Piqué,es ESP,DF,Barcelona,33,1987,18,18,1481,16.5,0,0,0,0,0,0.04,0.03,0.07,0.04,0.07
437,Miralem Pjanić,ba BIH,MF,Barcelona,30,1990,19,6,627,7,0,0,0,0,0,0.17,0.14,0.31,0.17,0.31
438,Óscar Plano,es ESP,"MF,FW",Valladolid,29,1991,36,30,2517,28,0.18,0.18,0.36,0.18,0.36,0.15,0.06,0.21,0.15,0.21
439,Dani Plomer,es ESP,FW,Granada,21,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0
440,Jorge Pombo,es ESP,"FW,MF",Cádiz,26,1994,12,5,523,5.8,0.17,0,0.17,0.17,0.17,0.23,0.07,0.29,0.23,0.29
441,Pere Pons,es ESP,MF,Alavés,27,1993,22,12,1186,13.2,0.15,0,0.15,0.15,0.15,0.06,0.12,0.18,0.06,0.18
442,Francisco Portillo,es ESP,"MF,FW",Getafe,30,1990,16,3,418,4.6,0,0.22,0.22,0,0.22,0,0.1,0.1,0,0.1
443,Portu,es ESP,"FW,MF",Real Sociedad,28,1992,37,24,2184,24.3,0.33,0.12,0.45,0.33,0.45,0.23,0.21,0.44,0.23,0.44
444,Sergio Postigo,es ESP,DF,Levante,31,1988,22,19,1623,18,0,0,0,0,0,0,0,0,0,0
445,Darío Poveda,es ESP,FW,Getafe,23,1997,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0
446,Alejandro Pozo Pozo,es ESP,"DF,MF",Eibar,21,1999,30,24,2190,24.3,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
447,Antonio Puertas,es ESP,"FW,MF",Granada,28,1992,35,22,2170,24.1,0.12,0.21,0.33,0.12,0.33,0.17,0.08,0.25,0.17,0.25
448,Riqui Puig,es ESP,MF,Barcelona,20,1999,14,2,292,3.2,0.31,0,0.31,0.31,0.31,0.08,0.07,0.16,0.08,0.16
449,Jorge Pulido,es ESP,DF,Huesca,29,1991,33,32,2885,32.1,0.03,0,0.03,0.03,0.03,0.08,0.02,0.1,0.08,0.1
450,Domingos Quina,pt POR,MF,Granada,20,1999,8,5,341,3.8,0.53,0,0.53,0.53,0.53,0.08,0.04,0.12,0.08,0.12
451,Quini,es ESP,DF,Granada,30,1989,19,12,1191,13.2,0.08,0,0.08,0.08,0.08,0.02,0.02,0.04,0.02,0.04
452,Quique,es ESP,"FW,MF",Eibar,30,1990,12,0,167,1.9,0,0,0,0,0,0.16,0,0.16,0.16,0.16
453,Dani Raba,es ESP,MF,Villarreal,24,1995,5,1,150,1.7,0,0,0,0,0,0.21,0.04,0.25,0.21,0.25
454,Uroš Račić,rs SRB,MF,Valencia,22,1998,31,25,2187,24.3,0.04,0.04,0.08,0.04,0.08,0.06,0.02,0.08,0.06,0.08
455,Nemanja Radoja,rs SRB,MF,Levante,27,1993,21,13,1121,12.5,0,0.16,0.16,0,0.16,0.02,0.02,0.05,0.02,0.05
456,Ivan Rakitić,hr CRO,MF,Sevilla,32,1988,37,25,2233,24.8,0.16,0.08,0.24,0.08,0.16,0.21,0.05,0.26,0.15,0.2
457,Jonás Ramalho,es ESP,DF,Osasuna,27,1993,5,3,304,3.4,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
458,Sandro Ramírez,es ESP,"FW,MF",Huesca,25,1995,20,16,1285,14.3,0.35,0.07,0.42,0.35,0.42,0.17,0.03,0.2,0.17,0.2
459,Sergio Ramos,es ESP,DF,Real Madrid,34,1986,15,15,1275,14.2,0.14,0,0.14,0,0,0.27,0.02,0.28,0.16,0.18
460,Recio,es ESP,MF,Eibar,29,1991,17,8,734,8.2,0.12,0,0.12,0,0,0.15,0.09,0.24,0.06,0.14
461,Francisco Reis Ferreira,pt POR,DF,Valencia,23,1997,3,2,181,2,0,0,0,0,0,0,0,0,0,0
462,Karim Rekik,nl NED,DF,Sevilla,25,1994,11,6,653,7.3,0,0,0,0,0,0.03,0.02,0.05,0.03,0.05
463,Álex Remiro,es ESP,GK,Real Sociedad,25,1995,38,38,3420,38,0,0,0,0,0,0,0,0,0,0
464,Oriol Rey,es ESP,MF,Valladolid,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0
465,Ricard,es ESP,DF,Atlético Madrid,20,2000,1,0,30,0.3,0,0,0,0,0,0.07,0,0.07,0.07,0.07
466,Mikel Rico,es ESP,MF,Huesca,35,1984,32,27,2183,24.3,0.04,0.16,0.21,0.04,0.21,0.09,0.06,0.16,0.09,0.16
467,Emiliano Rigoni,ar ARG,"MF,FW",Elche,27,1993,23,12,1139,12.7,0.08,0.08,0.16,0.08,0.16,0.2,0.15,0.35,0.2,0.35
468,Luis Rioja,es ESP,MF,Alavés,26,1993,35,25,2090,23.2,0.17,0.09,0.26,0.17,0.26,0.15,0.14,0.29,0.15,0.29
469,Rober,es ESP,"DF,MF",Levante,25,1995,19,16,1425,15.8,0,0.06,0.06,0,0.06,0.01,0.05,0.06,0.01,0.06
470,Roberto,es ESP,GK,Valladolid,34,1986,13,13,1170,13,0,0,0,0,0,0,0,0,0,0
471,Sergi Roberto,es ESP,DF,Barcelona,28,1992,15,9,946,10.5,0.1,0.19,0.29,0.1,0.29,0.05,0.19,0.24,0.05,0.24
472,Joel Robles,es ESP,GK,Betis,30,1990,18,18,1620,18,0,0,0,0,0,0,0,0,0,0
473,Rubén Rochina,es ESP,MF,Levante,29,1991,25,17,1404,15.6,0,0.06,0.06,0,0.06,0.11,0.13,0.24,0.11,0.24
474,Rodrigo,es ESP,"FW,MF",Betis,20,2000,15,5,537,6,0,0,0,0,0,0.04,0.09,0.12,0.04,0.12
475,Kévin Rodrigues,pt POR,"DF,MF",Eibar,26,1994,22,11,1095,12.2,0.08,0.08,0.16,0.08,0.16,0.05,0.06,0.1,0.05,0.1
476,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Sevilla,22,1998,20,4,511,5.7,0,0,0,0,0,0.08,0.17,0.25,0.08,0.25
477,Ángel Rodríguez,es ESP,"FW,MF",Getafe,33,1987,33,12,1374,15.3,0.33,0,0.33,0.26,0.26,0.36,0.04,0.4,0.26,0.3
478,Guido Rodríguez,ar ARG,MF,Betis,26,1994,35,34,2864,31.8,0.03,0,0.03,0.03,0.03,0.05,0.02,0.07,0.05,0.07
479,Miguel Rodríguez,es ESP,"FW,MF",Celta Vigo,17,2003,4,0,30,0.3,0,0,0,0,0,0,0,0,0,0
480,Víctor Rodríguez,es ESP,MF,Elche,31,1989,16,2,426,4.7,0,0,0,0,0,0,0.12,0.12,0,0.12
481,Rodrygo,br BRA,FW,Real Madrid,19,2001,22,10,983,10.9,0.09,0.55,0.64,0.09,0.64,0.23,0.28,0.51,0.23,0.51
482,Facundo Roncaglia,ar ARG,DF,Osasuna,33,1987,17,14,1232,13.7,0.07,0.07,0.15,0.07,0.15,0.04,0.01,0.05,0.04,0.05
483,Rubén,es ESP,"GK,MF",Osasuna,36,1984,3,3,187,2.1,0,0,0,0,0,0,0,0,0,0
484,Waldo Rubio,es ESP,FW,Valladolid,24,1995,10,5,375,4.2,0.24,0,0.24,0,0,0.25,0.03,0.27,0.07,0.09
485,Aitor Ruibal,es ESP,"FW,MF",Betis,24,1996,28,21,1593,17.7,0.11,0.11,0.23,0.11,0.23,0.15,0.14,0.28,0.15,0.28
486,Isma Ruiz,es ESP,MF,Granada,19,2001,1,1,67,0.7,0,0,0,0,0,0,0,0,0,0
487,Víctor Ruiz,es ESP,DF,Betis,31,1989,27,24,2157,24,0.08,0,0.08,0.08,0.08,0.05,0,0.05,0.05,0.05
488,Gerónimo Rulli,ar ARG,GK,Villarreal,28,1992,2,2,180,2,0,0,0,0,0,0,0,0,0,0
489,Modibo Sagnan,ml MLI,DF,Real Sociedad,21,1999,16,7,622,6.9,0,0,0,0,0,0.09,0.03,0.11,0.09,0.11
490,Borja Sainz,es ESP,"MF,FW",Alavés,19,2001,21,2,453,5,0.2,0,0.2,0.2,0.2,0.22,0.07,0.29,0.22,0.29
491,Salvi,es ESP,"MF,FW",Cádiz,29,1991,28,25,1933,21.5,0.09,0,0.09,0.09,0.09,0.09,0.06,0.14,0.09,0.14
492,Fede San Emeterio,es ESP,MF,Valladolid,23,1997,24,17,1460,16.2,0,0,0,0,0,0,0.01,0.01,0,0.01
493,Antonio Sanabria,py PAR,FW,Betis,24,1996,16,10,932,10.4,0.29,0,0.29,0.29,0.29,0.41,0.02,0.44,0.41,0.44
494,Oihan Sancet,es ESP,"FW,MF",Athletic Club,20,2000,24,11,1035,11.5,0.17,0.17,0.35,0.17,0.35,0.25,0.11,0.36,0.25,0.36
495,Juan Sánchez Miño,ar ARG,"DF,MF",Elche,30,1990,9,5,495,5.5,0,0,0,0,0,0,0,0,0,0
496,Germán Sánchez,es ESP,DF,Granada,33,1986,34,29,2638,29.3,0.1,0.03,0.14,0.1,0.14,0.07,0,0.07,0.07,0.07
497,Javi Sánchez,es ESP,DF,Valladolid,23,1997,16,11,921,10.2,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
498,Manuel Sánchez,es ESP,DF,Atlético Madrid,19,2000,1,1,49,0.5,0,1.84,1.84,0,1.84,0,0.61,0.61,0,0.61
499,Manuel Sánchez,es ESP,DF,Osasuna,19,2000,16,10,976,10.8,0,0.37,0.37,0,0.37,0.01,0.09,0.1,0.01,0.1
500,Oier Sanjurjo,es ESP,MF,Osasuna,34,1986,32,24,2084,23.2,0,0.09,0.09,0,0.09,0.04,0.08,0.11,0.04,0.11
501,Ivan Šaponjić,rs SRB,FW,Cádiz,22,1997,9,3,388,4.3,0.23,0,0.23,0,0,0.4,0,0.4,0.22,0.22
502,Stefan Savić,me MNE,DF,Atlético Madrid,29,1991,33,33,2953,32.8,0.03,0,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.03
503,Jaime Seoane,es ESP,MF,Huesca,23,1997,29,23,2064,22.9,0.04,0.04,0.09,0.04,0.09,0.06,0.05,0.11,0.06,0.11
504,Edgar Sevikyan,ru RUS,MF,Levante,18,2001,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0
505,Sidnei,br BRA,DF,Betis,30,1989,11,7,697,7.7,0,0,0,0,0,0.02,0,0.02,0.02,0.02
506,David Silva,es ESP,MF,Real Sociedad,34,1986,21,17,1399,15.5,0.13,0.32,0.45,0.13,0.45,0.19,0.25,0.44,0.19,0.44
507,Gastón Silva,uy URU,DF,Huesca,26,1994,12,6,600,6.7,0,0,0,0,0,0,0,0,0,0
508,Rui Silva,pt POR,GK,Granada,26,1994,32,32,2880,32,0,0,0,0,0,0,0,0,0,0
509,Unai Simón,es ESP,GK,Athletic Club,23,1997,37,37,3330,37,0,0,0,0,0,0,0,0,0,0
510,Dimitris Siovas,gr GRE,DF,Huesca,31,1988,36,34,3071,34.1,0.06,0,0.06,0.06,0.06,0.06,0.01,0.06,0.06,0.06
511,Antonio Sivera,es ESP,GK,Alavés,23,1996,1,1,71,0.8,0,0,0,0,0,0,0,0,0,0
512,Rafa Soares,pt POR,DF,Eibar,25,1995,19,12,1134,12.6,0,0.08,0.08,0,0.08,0,0.1,0.1,0,0.1
513,Rubén Sobrino,es ESP,"MF,FW",Valencia,28,1992,5,0,49,0.5,0,0,0,0,0,0,0.05,0.05,0,0.05
514,Rubén Sobrino,es ESP,"FW,MF",Cádiz,28,1992,16,11,1113,12.4,0.08,0,0.08,0.08,0.08,0.19,0.06,0.25,0.19,0.25
515,Augusto Solari,ar ARG,MF,Celta Vigo,28,1992,16,3,486,5.4,0.37,0.37,0.74,0.37,0.74,0.23,0.24,0.48,0.23,0.48
516,Roberto Soldado,es ESP,FW,Granada,35,1985,29,16,1438,16,0.56,0,0.56,0.44,0.44,0.36,0.04,0.4,0.28,0.32
517,Carlos Soler,es ESP,MF,Valencia,23,1997,32,31,2735,30.4,0.36,0.26,0.63,0.13,0.39,0.31,0.15,0.47,0.09,0.24
518,Son,es ESP,DF,Levante,26,1994,28,10,1106,12.3,0,0,0,0,0,0.04,0.1,0.14,0.04,0.14
519,David Soria,es ESP,GK,Getafe,27,1993,28,28,2520,28,0,0,0,0,0,0,0,0,0,0
520,Alberto Soro,es ESP,"FW,MF",Granada,21,1999,15,3,393,4.4,0.23,0.46,0.69,0.23,0.69,0.18,0.08,0.26,0.18,0.26
521,Hugo Sotelo,es ESP,MF,Celta Vigo,16,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0
522,Damián Suárez,uy URU,DF,Getafe,32,1988,31,28,2434,27,0.04,0,0.04,0.04,0.04,0.01,0.03,0.04,0.01,0.04
523,Denis Suárez,es ESP,MF,Celta Vigo,26,1994,35,34,2852,31.7,0,0.28,0.28,0,0.28,0.03,0.16,0.18,0.03,0.18
524,Luis Suárez,uy URU,FW,Atlético Madrid,33,1987,32,30,2508,27.9,0.75,0.11,0.86,0.65,0.75,0.56,0.12,0.68,0.48,0.59
525,Suso,es ESP,FW,Sevilla,26,1993,34,28,2210,24.6,0.12,0.16,0.29,0.12,0.29,0.09,0.18,0.27,0.09,0.27
526,Tachi,es ESP,DF,Alavés,22,1997,12,8,850,9.4,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
527,Renato Tapia,pe PER,MF,Celta Vigo,25,1995,32,32,2701,30,0,0.03,0.03,0,0.03,0.03,0.03,0.06,0.03,0.06
528,Tomás Tavares,pt POR,"MF,DF",Alavés,19,2001,3,0,65,0.7,0,0,0,0,0,0,0,0,0,0
529,Álvaro Tejero,es ESP,DF,Eibar,24,1996,2,1,110,1.2,0,0,0,0,0,0.03,0.16,0.18,0.03,0.18
530,Cristian Tello,es ESP,"FW,MF",Betis,28,1991,29,12,1283,14.3,0.35,0.21,0.56,0.35,0.56,0.16,0.19,0.35,0.16,0.35
531,Marc-André ter Stegen,de GER,GK,Barcelona,28,1992,31,31,2790,31,0,0,0,0,0,0,0,0,0,0
532,David Timor,es ESP,"MF,DF",Getafe,30,1989,30,15,1395,15.5,0,0,0,0,0,0.03,0.06,0.09,0.03,0.09
533,Toño,es ESP,DF,Levante,30,1989,12,9,726,8.1,0,0.25,0.25,0,0.25,0.01,0.05,0.05,0.01,0.05
534,Lucas Torreira,uy URU,"MF,FW",Atlético Madrid,24,1996,19,3,518,5.8,0.17,0,0.17,0.17,0.17,0.04,0.1,0.14,0.04,0.14
535,Óliver Torres,es ESP,"MF,FW",Sevilla,25,1994,33,15,1400,15.6,0,0.19,0.19,0,0.19,0.05,0.11,0.16,0.05,0.16
536,Pau Torres,es ESP,DF,Villarreal,23,1997,33,33,2970,33,0.06,0.06,0.12,0.06,0.12,0.04,0.03,0.07,0.04,0.07
537,Roberto Torres,es ESP,"MF,FW",Osasuna,31,1989,35,19,1894,21,0.33,0.05,0.38,0.14,0.19,0.29,0.07,0.37,0.11,0.18
538,Lucas Torró,es ESP,MF,Osasuna,26,1994,25,17,1548,17.2,0,0.06,0.06,0,0.06,0.09,0.03,0.12,0.09,0.12
539,Manu Trigueros,es ESP,MF,Villarreal,28,1991,35,30,2527,28.1,0.04,0.21,0.25,0.04,0.25,0.1,0.18,0.28,0.1,0.28
540,Francisco Trincão,pt POR,"FW,MF",Barcelona,20,1999,28,3,706,7.8,0.38,0.25,0.64,0.38,0.64,0.4,0.13,0.52,0.4,0.52
541,Kieran Trippier,eng ENG,DF,Atlético Madrid,29,1990,28,28,2475,27.5,0,0.22,0.22,0,0.22,0,0.13,0.14,0,0.14
542,Samuel Umtiti,fr FRA,DF,Barcelona,26,1993,13,6,645,7.2,0,0,0,0,0,0.02,0,0.02,0.02,0.02
543,Enes Ünal,tr TUR,FW,Getafe,23,1997,28,15,1318,14.6,0.27,0.14,0.41,0.2,0.34,0.28,0.09,0.37,0.22,0.32
544,Tomáš Vaclík,cz CZE,GK,Sevilla,31,1989,5,5,450,5,0,0,0,0,0,0,0,0,0,0
545,Eugeni Valderrama,es ESP,"FW,MF",Huesca,26,1994,3,1,115,1.3,0,0,0,0,0,0,0.06,0.06,0,0.06
546,Jesús Vallejo,es ESP,DF,Granada,23,1997,21,15,1348,15,0,0,0,0,0,0.01,0,0.01,0.01,0.01
547,Manu Vallejo,es ESP,FW,Valencia,23,1997,30,9,950,10.6,0.47,0,0.47,0.47,0.47,0.43,0.03,0.46,0.43,0.46
548,Federico Valverde,uy URU,MF,Real Madrid,22,1998,24,15,1330,14.8,0.2,0.07,0.27,0.2,0.27,0.13,0.22,0.35,0.13,0.35
549,Raphaël Varane,fr FRA,DF,Real Madrid,27,1993,31,31,2715,30.2,0.07,0,0.07,0.07,0.07,0.07,0,0.07,0.07,0.07
550,Denis Vavro,sk SVK,DF,Huesca,24,1996,11,9,611,6.8,0,0,0,0,0,0.04,0.01,0.05,0.04,0.05
551,Franco Vázquez,ar ARG,"FW,MF",Sevilla,31,1989,15,1,164,1.8,0.55,0,0.55,0.55,0.55,0.18,0.12,0.29,0.18,0.29
552,Kevin Vázquez,es ESP,DF,Celta Vigo,27,1993,8,5,562,6.2,0,0,0,0,0,0,0,0,0,0
553,Lucas Vázquez,es ESP,"DF,FW",Real Madrid,29,1991,24,21,1848,20.5,0.1,0.24,0.34,0.1,0.34,0.11,0.21,0.32,0.11,0.32
554,Koke Vegas,es ESP,GK,Levante,24,1995,1,1,90,1,0,0,0,0,0,0,0,0,0,0
555,Gabriel Veiga,es ESP,"MF,DF",Celta Vigo,18,2002,6,1,118,1.3,0,0,0,0,0,0,0.03,0.03,0,0.03
556,Unai Vencedor Paris,es ESP,MF,Athletic Club,19,2000,28,19,1701,18.9,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04
557,Gonzalo Verdú,es ESP,DF,Elche,31,1988,33,33,2944,32.7,0,0.06,0.06,0,0.06,0.02,0.04,0.06,0.02,0.06
558,Mikel Vesga,es ESP,MF,Athletic Club,27,1993,30,20,1722,19.1,0,0.05,0.05,0,0.05,0.08,0.05,0.14,0.08,0.14
559,Rúben Vezo,pt POR,DF,Levante,26,1994,32,25,2316,25.7,0.04,0,0.04,0.04,0.04,0.01,0.01,0.02,0.01,0.02
560,Iñigo Vicente,es ESP,"FW,MF",Athletic Club,22,1998,3,0,52,0.6,0,0,0,0,0,0.06,0.67,0.73,0.06,0.73
561,Fede Vico,es ESP,"MF,FW",Granada,26,1994,20,9,767,8.5,0,0,0,0,0,0.06,0.14,0.2,0.06,0.2
562,Aleix Vidal,es ESP,DF,Sevilla,30,1989,12,5,595,6.6,0,0.15,0.15,0,0.15,0,0.15,0.15,0,0.15
563,Nacho Vidal,es ESP,DF,Osasuna,25,1995,34,25,2348,26.1,0,0,0,0,0,0.02,0.07,0.08,0.02,0.08
564,Toni Villa,es ESP,"MF,FW",Valladolid,25,1995,21,10,969,10.8,0.19,0,0.19,0.19,0.19,0.09,0.12,0.21,0.09,0.21
565,Asier Villalibre,es ESP,FW,Athletic Club,22,1997,35,16,1589,17.7,0.23,0.11,0.34,0.23,0.34,0.3,0.12,0.42,0.3,0.42
566,Iván Villar,es ESP,GK,Celta Vigo,23,1997,21,19,1781,19.8,0,0,0,0,0,0,0,0,0,0
567,Vitolo,es ESP,"MF,FW",Atlético Madrid,30,1989,10,3,298,3.3,0,0,0,0,0,0.15,0.07,0.22,0.15,0.22
568,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,28,1992,9,6,519,5.8,0,0,0,0,0,0,0,0,0,0
569,Nikola Vukčević,me MNE,MF,Levante,28,1991,13,11,810,9,0,0,0,0,0,0.02,0.02,0.04,0.02,0.04
570,Daniel Wass,dk DEN,"MF,DF",Valencia,31,1989,35,35,2979,33.1,0.12,0.03,0.15,0.09,0.12,0.1,0.07,0.17,0.07,0.14
571,Shon Weissman,il ISR,FW,Valladolid,24,1996,32,24,2133,23.7,0.25,0.04,0.3,0.25,0.3,0.23,0.07,0.3,0.23,0.3
572,Iñaki Williams,es ESP,FW,Athletic Club,26,1994,38,27,2387,26.5,0.23,0.23,0.45,0.19,0.41,0.26,0.18,0.44,0.23,0.41
573,Nico Williams,es ESP,MF,Athletic Club,18,2002,2,0,57,0.6,0,0,0,0,0,0.03,0,0.03,0.03,0.03
574,Jawad El Yamiq,ma MAR,DF,Valladolid,28,1992,19,15,1379,15.3,0,0.07,0.07,0,0.07,0.02,0,0.03,0.02,0.03
575,Rubén Yáñez,es ESP,GK,Getafe,26,1993,10,10,900,10,0,0,0,0,0,0,0,0,0,0
576,Yoel,es ESP,GK,Eibar,31,1988,4,3,300,3.3,0,0,0,0,0,0,0,0,0,0
577,Okay Yokuşlu,tr TUR,MF,Celta Vigo,26,1994,12,3,462,5.1,0,0,0,0,0,0.08,0.05,0.14,0.08,0.14
578,Joseba Zaldúa,es ESP,DF,Real Sociedad,28,1992,12,6,639,7.1,0,0,0,0,0,0.01,0.11,0.11,0.01,0.11
579,Oier Zarraga,es ESP,MF,Athletic Club,21,1999,5,1,100,1.1,0,0,0,0,0,0.08,0.04,0.13,0.08,0.13
580,Igor Zubeldia,es ESP,DF,Real Sociedad,23,1997,24,21,1959,21.8,0.05,0.05,0.09,0.05,0.09,0.05,0.03,0.08,0.05,0.08
581,Martín Zubimendi,es ESP,MF,Real Sociedad,21,1999,31,17,1882,20.9,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05
582,Martin Ødegaard,no NOR,"MF,FW",Real Madrid,21,1998,7,3,234,2.6,0,0,0,0,0,0.04,0.15,0.19,0.04,0.19
